"x"
63175700.376841
67938085.0471002
70348918.7805924
90900288.3120014
84972008.6394796
88924195.0878275
111288010.202061
140446991.603665
185783993.844536
241889161.214435
413326127.886805
577239433.305199
731455472.037483
772559381.952495
896353802.001985
1117955622.16605
975581462.792181
959485440.858573
628153422.9932
512454401.205829
692472049.689441
728545632.680319
815386106.13657
917269144.795746
990555090.202011
1069720491.9962
1148445710.41342
1228526552.8756
1251786538.13271
1365250018.74448
1437898700.73909
1447128689.24308
1400949500.95045
1444959716.46388
1207516609.85555
859151483.21036
1470317614.79253
1474874326.26173
1819230070.24998
1937523821.55205
2031131380.56246
2134594876.06275
2408350249.5627
2944958472.736
3055069441.85873
3160804832.03361
3342698955.60745
3402700835.84055
4065552316.93534
4048612524.35018
3268363375.66571
3327031889.64856
3461461531.38359
3696856944.7441
3721323837.45287
